league,season,raw_name,rank,played,points,gf,ga,ppg
eng.1,2022,Manchester City,1,38,89,94,33,2.3421052631578947
eng.1,2022,Arsenal,2,38,84,88,43,2.210526315789474
eng.1,2022,Manchester United,3,38,75,58,43,1.9736842105263157
eng.1,2022,Newcastle United,4,38,71,68,33,1.868421052631579
eng.1,2022,Liverpool,5,38,67,75,47,1.763157894736842
eng.1,2022,Brighton & Hove Albion,6,38,62,72,53,1.631578947368421
eng.1,2022,Aston Villa,7,38,61,51,46,1.605263157894737
eng.1,2022,Tottenham Hotspur,8,38,60,70,63,1.5789473684210527
eng.1,2022,Brentford,9,38,59,58,46,1.5526315789473684
eng.1,2022,Fulham,10,38,52,55,53,1.368421052631579
eng.1,2022,Crystal Palace,11,38,45,40,49,1.1842105263157894
eng.1,2022,Chelsea,12,38,44,38,47,1.1578947368421053
eng.1,2022,Wolverhampton Wanderers,13,38,41,31,58,1.0789473684210527
eng.1,2022,West Ham United,14,38,40,42,55,1.0526315789473684
eng.1,2022,AFC Bournemouth,15,38,39,37,71,1.0263157894736843
eng.1,2022,Nottingham Forest,16,38,38,38,68,1
eng.1,2022,Everton,17,38,36,34,57,0.9473684210526315
eng.1,2022,Leicester City,18,38,34,51,68,0.8947368421052632
eng.1,2022,Leeds United,19,38,31,48,78,0.8157894736842105
eng.1,2022,Southampton,20,38,25,36,73,0.6578947368421053
eng.2,2022,Burnley,1,46,101,87,35,2.1956521739130435
eng.2,2022,Sheffield United,2,46,91,73,39,1.9782608695652173
eng.2,2022,Luton Town,3,46,80,57,39,1.7391304347826086
eng.2,2022,Middlesbrough,4,46,75,84,56,1.6304347826086956
eng.2,2022,Coventry City,5,46,70,58,46,1.5217391304347827
eng.2,2022,Sunderland,6,46,69,68,55,1.5
eng.2,2022,Blackburn Rovers,7,46,69,52,54,1.5
eng.2,2022,Millwall,8,46,68,57,50,1.4782608695652173
eng.2,2022,West Bromwich Albion,9,46,66,59,53,1.434782608695652
eng.2,2022,Swansea City,10,46,66,68,64,1.434782608695652
eng.2,2022,Watford,11,46,63,56,53,1.3695652173913044
eng.2,2022,Preston North End,12,46,63,45,59,1.3695652173913044
eng.2,2022,Norwich City,13,46,62,57,54,1.3478260869565217
eng.2,2022,Bristol City,14,46,59,55,56,1.2826086956521738
eng.2,2022,Hull City,15,46,58,51,61,1.2608695652173914
eng.2,2022,Stoke City,16,46,53,55,54,1.1521739130434783
eng.2,2022,Birmingham City,17,46,53,47,58,1.1521739130434783
eng.2,2022,Huddersfield Town,18,46,53,47,62,1.1521739130434783
eng.2,2022,Rotherham United,19,46,50,49,60,1.0869565217391304
eng.2,2022,Queens Park Rangers,20,46,50,44,71,1.0869565217391304
eng.2,2022,Cardiff City,21,46,49,41,58,1.065217391304348
eng.2,2022,Reading,22,46,44,46,68,0.9565217391304348
eng.2,2022,Blackpool,23,46,44,48,72,0.9565217391304348
eng.2,2022,Wigan Athletic,24,46,42,38,65,0.9130434782608695
uefa.champions,2022,Napoli,1,6,15,20,6,2.5
uefa.champions,2022,Ajax Amsterdam,3,6,6,11,16,1
uefa.champions,2022,Rangers,4,6,0,2,22,0
uefa.champions,2022,Liverpool,2,6,15,17,6,2.5
uefa.europa,2022,PSV Eindhoven,2,6,13,15,4,2.1666666666666665
uefa.europa,2022,Arsenal,1,6,15,8,3,2.5
uefa.europa,2022,Bodo/Glimt,3,6,4,5,10,0.6666666666666666
uefa.europa,2022,FC Zürich,4,6,3,5,16,0.5
