league,season,raw_name,rank,played,points,gf,ga,ppg
eng.1,2020,Manchester City,1,38,86,83,32,2.263157894736842
eng.1,2020,Manchester United,2,38,74,73,44,1.9473684210526316
eng.1,2020,Liverpool,3,38,69,68,42,1.8157894736842106
eng.1,2020,Chelsea,4,38,67,58,36,1.763157894736842
eng.1,2020,Leicester City,5,38,66,68,50,1.736842105263158
eng.1,2020,West Ham United,6,38,65,62,47,1.7105263157894737
eng.1,2020,Tottenham Hotspur,7,38,62,68,45,1.631578947368421
eng.1,2020,Arsenal,8,38,61,55,39,1.605263157894737
eng.1,2020,Leeds United,9,38,59,62,54,1.5526315789473684
eng.1,2020,Everton,10,38,59,47,48,1.5526315789473684
eng.1,2020,Aston Villa,11,38,55,55,46,1.4473684210526316
eng.1,2020,Newcastle United,12,38,45,46,62,1.1842105263157894
eng.1,2020,Wolverhampton Wanderers,13,38,45,36,52,1.1842105263157894
eng.1,2020,Crystal Palace,14,38,44,41,66,1.1578947368421053
eng.1,2020,Southampton,15,38,43,47,68,1.131578947368421
eng.1,2020,Brighton & Hove Albion,16,38,41,40,46,1.0789473684210527
eng.1,2020,Burnley,17,38,39,33,55,1.0263157894736843
eng.1,2020,Fulham,18,38,28,27,53,0.7368421052631579
eng.1,2020,West Bromwich Albion,19,38,26,35,76,0.6842105263157895
eng.1,2020,Sheffield United,20,38,23,20,63,0.6052631578947368
eng.2,2020,Norwich City,1,46,97,75,36,2.108695652173913
eng.2,2020,Watford,2,46,91,63,30,1.9782608695652173
eng.2,2020,Brentford,3,46,87,79,42,1.891304347826087
eng.2,2020,Swansea City,4,46,80,56,39,1.7391304347826086
eng.2,2020,Barnsley,5,46,78,58,50,1.6956521739130435
eng.2,2020,AFC Bournemouth,6,46,77,73,46,1.673913043478261
eng.2,2020,Reading,7,46,70,62,54,1.5217391304347827
eng.2,2020,Cardiff City,8,46,68,66,49,1.4782608695652173
eng.2,2020,Queens Park Rangers,9,46,68,57,55,1.4782608695652173
eng.2,2020,Middlesbrough,10,46,64,55,53,1.391304347826087
eng.2,2020,Millwall,11,46,62,47,52,1.3478260869565217
eng.2,2020,Luton Town,12,46,62,41,52,1.3478260869565217
eng.2,2020,Preston North End,13,46,61,49,56,1.326086956521739
eng.2,2020,Stoke City,14,46,60,50,52,1.3043478260869565
eng.2,2020,Blackburn Rovers,15,46,57,65,54,1.2391304347826086
eng.2,2020,Coventry City,16,46,55,49,61,1.1956521739130435
eng.2,2020,Nottingham Forest,17,46,52,37,45,1.1304347826086956
eng.2,2020,Birmingham City,18,46,52,37,61,1.1304347826086956
eng.2,2020,Bristol City,19,46,51,46,68,1.108695652173913
eng.2,2020,Huddersfield Town,20,46,49,50,71,1.065217391304348
eng.2,2020,Derby County,21,46,44,36,58,0.9565217391304348
eng.2,2020,Wycombe Wanderers,22,46,43,39,69,0.9347826086956522
eng.2,2020,Rotherham United,23,46,42,44,60,0.9130434782608695
eng.2,2020,Sheffield Wednesday,24,46,41,40,61,0.8913043478260869
uefa.champions,2020,Bayern Munich,1,6,16,18,5,2.6666666666666665
uefa.champions,2020,Lokomotiv Moscow,4,6,3,5,10,0.5
uefa.champions,2020,Atlético Madrid,2,6,9,7,8,1.5
uefa.champions,2020,RB Salzburg,3,6,4,10,17,0.6666666666666666
uefa.europa,2020,AS Roma,1,6,13,13,5,2.1666666666666665
uefa.europa,2020,Young Boys,2,6,10,9,7,1.6666666666666667
uefa.europa,2020,CFR Cluj-Napoca,3,6,5,4,10,0.8333333333333334
uefa.europa,2020,CSKA Sofia,4,6,5,3,7,0.8333333333333334
eng.1,2021,Manchester City,1,38,93,99,26,2.4473684210526314
eng.1,2021,Liverpool,2,38,92,94,26,2.4210526315789473
eng.1,2021,Chelsea,3,38,74,76,33,1.9473684210526316
eng.1,2021,Tottenham Hotspur,4,38,71,69,40,1.868421052631579
eng.1,2021,Arsenal,5,38,69,61,48,1.8157894736842106
eng.1,2021,Manchester United,6,38,58,57,57,1.5263157894736843
eng.1,2021,West Ham United,7,38,56,60,51,1.4736842105263157
eng.1,2021,Leicester City,8,38,52,62,59,1.368421052631579
eng.1,2021,Brighton & Hove Albion,9,38,51,42,44,1.3421052631578947
eng.1,2021,Wolverhampton Wanderers,10,38,51,38,43,1.3421052631578947
eng.1,2021,Newcastle United,11,38,49,44,62,1.2894736842105263
eng.1,2021,Crystal Palace,12,38,48,50,46,1.263157894736842
eng.1,2021,Brentford,13,38,46,48,56,1.2105263157894737
eng.1,2021,Aston Villa,14,38,45,52,54,1.1842105263157894
eng.1,2021,Southampton,15,38,40,43,67,1.0526315789473684
eng.1,2021,Everton,16,38,39,43,66,1.0263157894736843
eng.1,2021,Leeds United,17,38,38,42,79,1
eng.1,2021,Burnley,18,38,35,34,53,0.9210526315789473
eng.1,2021,Watford,19,38,23,34,77,0.6052631578947368
eng.1,2021,Norwich City,20,38,22,23,84,0.5789473684210527
eng.2,2021,Fulham,1,46,90,106,43,1.9565217391304348
